,Date,Home Team,Home Score,Road Team,Road Score,Venue
177,2019-11-17T01:00:00.000Z,MIN,105,HOU,125,Target Center
178,2019-11-17T01:00:00.000Z,MIA,109,NOP,94,American Airlines Arena
179,2019-11-17T01:30:00.000Z,SAS,116,POR,121,AT&T Center
180,2019-11-17T01:30:00.000Z,DAL,110,TOR,102,American Airlines Center
181,2019-11-17T03:30:00.000Z,LAC,150,ATL,101,Staples Center
182,2019-11-17T20:00:00.000Z,CLE,95,PHI,114,Quicken Loans Arena
183,2019-11-17T20:30:00.000Z,SAC,100,BOS,99,Golden 1 Center
184,2019-11-17T23:00:00.000Z,MEM,114,DEN,131,FedEx Forum
185,2019-11-17T23:00:00.000Z,ORL,125,WAS,121,Amway Center
186,2019-11-18T00:00:00.000Z,NOP,108,GSW,100,Smoothie King Center
187,2019-11-18T02:30:00.000Z,LAL,122,ATL,101,Staples Center
188,2019-11-19T00:00:00.000Z,NYK,123,CLE,105,Madison Square Garden
189,2019-11-19T00:30:00.000Z,TOR,132,CHA,96,Scotiabank Arena
190,2019-11-19T00:30:00.000Z,BRO,86,IND,115,Barclays Center
191,2019-11-19T01:00:00.000Z,HOU,132,POR,108,Toyota Center
192,2019-11-19T01:00:00.000Z,CHI,101,MIL,115,United Center
193,2019-11-19T01:30:00.000Z,DAL,117,SAS,110,American Airlines Center
194,2019-11-19T02:00:00.000Z,UTA,102,MIN,112,Vivint Smart Home Arena
195,2019-11-19T02:00:00.000Z,PHX,85,BOS,99,Talking Stick Resort Arena
196,2019-11-19T03:30:00.000Z,LAC,90,OKL,88,Staples Center
197,2019-11-20T01:00:00.000Z,NOP,115,POR,104,Smoothie King Center
198,2019-11-20T01:00:00.000Z,MEM,95,GSW,114,FedEx Forum
199,2019-11-20T03:00:00.000Z,SAC,120,PHX,116,Golden 1 Center
200,2019-11-20T03:30:00.000Z,LAL,112,OKL,107,Staples Center
201,2019-11-21T00:00:00.000Z,WAS,138,SAS,132,Capital One Arena
202,2019-11-21T00:00:00.000Z,PHI,109,NYK,104,Wells Fargo Center
203,2019-11-21T00:30:00.000Z,DAL,142,GSW,94,American Airlines Center
204,2019-11-21T00:30:00.000Z,TOR,113,ORL,97,Scotiabank Arena
205,2019-11-21T00:30:00.000Z,MIA,124,CLE,100,American Airlines Arena
206,2019-11-21T00:30:00.000Z,BRO,101,CHA,91,Barclays Center
207,2019-11-21T00:30:00.000Z,ATL,127,MIL,135,State Farm Arena
208,2019-11-21T01:00:00.000Z,MIN,95,UTA,103,Target Center
209,2019-11-21T01:00:00.000Z,CHI,109,DET,89,United Center
210,2019-11-21T02:00:00.000Z,DEN,105,HOU,95,Pepsi Center
211,2019-11-21T03:00:00.000Z,LAC,107,BOS,104,Staples Center
212,2019-11-22T01:00:00.000Z,MIL,137,POR,129,Fiserv Forum
213,2019-11-22T03:30:00.000Z,PHX,121,NOP,124,Talking Stick Resort Arena
214,2019-11-23T00:00:00.000Z,WAS,125,CHA,118,Capital One Arena
215,2019-11-23T00:00:00.000Z,DET,128,ATL,103,Little Caesars Arena
216,2019-11-23T00:30:00.000Z,BRO,116,SAC,97,Barclays Center
217,2019-11-23T01:00:00.000Z,OKL,127,LAL,130,Chesapeake Energy Arena
218,2019-11-23T01:00:00.000Z,CHI,108,MIA,116,United Center
219,2019-11-23T01:00:00.000Z,PHI,115,SAS,104,Wells Fargo Center
220,2019-11-23T01:30:00.000Z,DAL,143,CLE,101,American Airlines Center
221,2019-11-23T02:00:00.000Z,UTA,113,GSW,109,Vivint Smart Home Arena
222,2019-11-23T02:00:00.000Z,DEN,96,BOS,92,Pepsi Center
223,2019-11-23T03:30:00.000Z,LAC,122,HOU,119,Staples Center
224,2019-11-23T22:00:00.000Z,MIN,98,PHX,100,Target Center
225,2019-11-24T00:00:00.000Z,IND,111,ORL,106,Bankers Life Fieldhouse
226,2019-11-24T00:00:00.000Z,CHA,115,CHI,116,Spectrum Center
227,2019-11-24T00:30:00.000Z,PHI,113,MIA,86,Wells Fargo Center
228,2019-11-24T00:30:00.000Z,NYK,104,SAS,111,Madison Square Garden
229,2019-11-24T00:30:00.000Z,ATL,116,TOR,119,State Farm Arena
230,2019-11-24T01:00:00.000Z,MEM,108,LAL,109,FedEx Forum
231,2019-11-24T01:00:00.000Z,CLE,110,POR,104,Quicken Loans Arena
232,2019-11-24T01:30:00.000Z,MIL,104,DET,90,Fiserv Forum
233,2019-11-24T02:00:00.000Z,UTA,128,NOP,120,Vivint Smart Home Arena
234,2019-11-24T20:30:00.000Z,HOU,123,DAL,137,Toyota Center
235,2019-11-24T23:00:00.000Z,WAS,106,SAC,113,Capital One Arena
236,2019-11-24T23:00:00.000Z,NYK,101,BRO,103,Madison Square Garden
237,2019-11-25T01:00:00.000Z,DEN,116,PHX,104,Pepsi Center
238,2019-11-25T02:00:00.000Z,LAC,134,NOP,109,Staples Center
239,2019-11-26T00:00:00.000Z,IND,126,MEM,114,Bankers Life Fieldhouse
240,2019-11-26T00:00:00.000Z,DET,103,ORL,88,Little Caesars Arena
241,2019-11-26T00:00:00.000Z,CLE,106,BRO,108,Quicken Loans Arena
242,2019-11-26T00:30:00.000Z,TOR,101,PHI,96,Scotiabank Arena
243,2019-11-26T00:30:00.000Z,MIA,117,CHA,100,American Airlines Arena
244,2019-11-26T00:30:00.000Z,BOS,103,SAC,102,TD Garden
245,2019-11-26T00:30:00.000Z,ATL,113,MIN,125,State Farm Arena
246,2019-11-26T01:00:00.000Z,MIL,122,UTA,118,Fiserv Forum
247,2019-11-26T01:00:00.000Z,CHI,94,POR,117,United Center
248,2019-11-26T01:30:00.000Z,SAS,104,LAL,114,AT&T Center
249,2019-11-26T03:30:00.000Z,GSW,97,OKL,100,Chase Center
250,2019-11-27T01:30:00.000Z,DAL,99,LAC,114,American Airlines Center
251,2019-11-27T02:00:00.000Z,DEN,117,WAS,104,Pepsi Center
252,2019-11-28T00:00:00.000Z,PHI,97,SAC,91,Wells Fargo Center
253,2019-11-28T00:00:00.000Z,IND,121,UTA,102,Bankers Life Fieldhouse
254,2019-11-28T00:00:00.000Z,CLE,104,ORL,116,Quicken Loans Arena
255,2019-11-28T00:00:00.000Z,CHA,102,DET,101,Spectrum Center
256,2019-11-28T00:00:00.000Z,BOS,121,BRO,110,TD Garden
257,2019-11-28T00:30:00.000Z,TOR,126,NYK,98,Scotiabank Arena
258,2019-11-28T01:00:00.000Z,MIL,111,ATL,102,Fiserv Forum
259,2019-11-28T01:00:00.000Z,MEM,119,LAC,121,FedEx Forum
260,2019-11-28T01:00:00.000Z,HOU,117,MIA,108,Toyota Center
261,2019-11-28T01:30:00.000Z,SAS,101,MIN,113,AT&T Center
262,2019-11-28T02:00:00.000Z,PHX,132,WAS,140,Talking Stick Resort Arena
263,2019-11-28T02:30:00.000Z,NOP,110,LAL,114,Smoothie King Center
264,2019-11-28T03:00:00.000Z,POR,136,OKL,119,Moda Center
265,2019-11-28T03:30:00.000Z,GSW,104,CHI,90,Chase Center
266,2019-11-29T17:00:00.000Z,BRO,112,BOS,107,Barclays Center
267,2019-11-30T00:00:00.000Z,ORL,83,TOR,90,Amway Center
268,2019-11-30T00:00:00.000Z,DET,107,CHA,110,Little Caesars Arena
269,2019-11-30T00:30:00.000Z,NYK,95,PHI,101,Madison Square Garden
270,2019-11-30T00:30:00.000Z,CLE,110,MIL,119,Quicken Loans Arena
271,2019-11-30T01:00:00.000Z,OKL,109,NOP,104,Chesapeake Energy Arena
272,2019-11-30T01:00:00.000Z,MEM,94,UTA,103,FedEx Forum
273,2019-11-30T01:00:00.000Z,MIA,122,GSW,105,American Airlines Arena
274,2019-11-30T01:00:00.000Z,IND,105,ATL,104,Bankers Life Fieldhouse
275,2019-11-30T01:30:00.000Z,SAS,107,LAC,97,AT&T Center
276,2019-11-30T02:00:00.000Z,PHX,113,DAL,120,Talking Stick Resort Arena
277,2019-11-30T03:00:00.000Z,POR,107,CHI,103,Moda Center
278,2019-11-30T03:30:00.000Z,LAL,125,WAS,103,Staples Center
279,2019-11-30T22:00:00.000Z,SAC,100,DEN,97,Golden 1 Center
280,2019-12-01T00:00:00.000Z,PHI,119,IND,116,Wells Fargo Center
281,2019-12-01T01:00:00.000Z,MIL,137,CHA,96,Fiserv Forum
282,2019-12-01T01:00:00.000Z,HOU,158,ATL,111,Toyota Center
283,2019-12-01T20:00:00.000Z,BRO,106,MIA,109,Barclays Center
284,2019-12-01T20:30:00.000Z,MIN,107,MEM,115,Target Center
285,2019-12-01T20:30:00.000Z,NYK,104,BOS,113,Madison Square Garden
286,2019-12-01T21:00:00.000Z,LAL,100,DAL,114,Staples Center
287,2019-12-01T22:00:00.000Z,NOP,104,OKL,107,Smoothie King Center
288,2019-12-01T22:00:00.000Z,DET,132,SAS,98,Little Caesars Arena
289,2019-12-01T23:00:00.000Z,TOR,130,UTA,110,Scotiabank Arena
290,2019-12-01T23:00:00.000Z,ORL,100,GSW,96,Amway Center
291,2019-12-02T03:30:00.000Z,LAC,150,WAS,125,Staples Center
292,2019-12-03T00:00:00.000Z,PHI,103,UTA,94,Wells Fargo Center
293,2019-12-03T00:00:00.000Z,CHA,104,PHX,109,Spectrum Center
294,2019-12-03T00:30:00.000Z,ATL,104,GSW,79,State Farm Arena
295,2019-12-03T01:00:00.000Z,MIL,132,NYK,88,Fiserv Forum
296,2019-12-03T01:00:00.000Z,MEM,104,IND,117,FedEx Forum
297,2019-12-03T03:00:00.000Z,SAC,106,CHI,113,Golden 1 Center
298,2019-12-04T00:00:00.000Z,WAS,120,ORL,127,Capital One Arena
299,2019-12-04T00:00:00.000Z,CLE,94,DET,127,Quicken Loans Arena
300,2019-12-04T00:30:00.000Z,NOP,97,DAL,118,Smoothie King Center
301,2019-12-04T00:30:00.000Z,TOR,110,MIA,121,Scotiabank Arena
302,2019-12-04T01:30:00.000Z,SAS,135,HOU,133,AT&T Center
303,2019-12-04T02:00:00.000Z,DEN,96,LAL,105,Pepsi Center
304,2019-12-04T03:00:00.000Z,LAC,117,POR,97,Staples Center
305,2019-12-05T00:00:00.000Z,ORL,128,PHX,114,Amway Center
306,2019-12-05T00:00:00.000Z,DET,103,MIL,127,Little Caesars Arena
307,2019-12-05T00:00:00.000Z,CHA,106,GSW,91,Spectrum Center
308,2019-12-05T00:30:00.000Z,BOS,112,MIA,93,TD Garden
309,2019-12-05T00:30:00.000Z,ATL,118,BRO,130,State Farm Arena
310,2019-12-05T01:00:00.000Z,OKL,100,IND,107,Chesapeake Energy Arena
311,2019-12-05T01:00:00.000Z,CHI,106,MEM,99,United Center
312,2019-12-05T01:30:00.000Z,DAL,121,MIN,114,American Airlines Center
313,2019-12-05T02:00:00.000Z,UTA,96,LAL,121,Vivint Smart Home Arena
314,2019-12-05T03:00:00.000Z,POR,127,SAC,116,Moda Center
315,2019-12-06T00:00:00.000Z,WAS,119,PHI,113,Capital One Arena
316,2019-12-06T00:30:00.000Z,TOR,109,HOU,119,Scotiabank Arena
317,2019-12-06T00:30:00.000Z,NYK,92,DEN,129,Madison Square Garden
318,2019-12-06T01:00:00.000Z,NOP,132,PHX,139,Smoothie King Center
319,2019-12-07T00:00:00.000Z,DET,108,IND,101,Little Caesars Arena
320,2019-12-07T00:00:00.000Z,CLE,87,ORL,93,Quicken Loans Arena
321,2019-12-07T00:00:00.000Z,CHA,104,BRO,111,Spectrum Center
322,2019-12-07T01:00:00.000Z,OKL,139,MIN,127,Chesapeake Energy Arena
323,2019-12-07T01:00:00.000Z,CHI,98,GSW,100,United Center
324,2019-12-07T01:00:00.000Z,MIA,112,WAS,103,American Airlines Arena
325,2019-12-07T01:00:00.000Z,BOS,108,DEN,95,TD Garden
326,2019-12-07T01:30:00.000Z,SAS,105,SAC,104,AT&T Center
327,2019-12-07T01:30:00.000Z,MIL,119,LAC,91,Fiserv Forum
328,2019-12-07T03:30:00.000Z,POR,113,LAL,136,Moda Center
329,2019-12-07T19:00:00.000Z,DAL,130,NOP,84,American Airlines Center
330,2019-12-08T00:30:00.000Z,PHI,141,CLE,94,Wells Fargo Center
331,2019-12-08T00:30:00.000Z,NYK,103,IND,104,Madison Square Garden
332,2019-12-08T01:00:00.000Z,HOU,115,PHX,109,Toyota Center
333,2019-12-08T03:00:00.000Z,UTA,126,MEM,112,Vivint Smart Home Arena
334,2019-12-08T20:00:00.000Z,BRO,105,DEN,102,Barclays Center
335,2019-12-08T22:00:00.000Z,CHA,107,ATL,122,Spectrum Center
336,2019-12-08T23:00:00.000Z,WAS,119,LAC,135,Capital One Arena
337,2019-12-08T23:00:00.000Z,PHI,110,TOR,104,Wells Fargo Center
338,2019-12-08T23:00:00.000Z,MIA,110,CHI,105,American Airlines Arena
339,2019-12-09T00:00:00.000Z,DAL,106,SAC,110,American Airlines Center
340,2019-12-09T02:00:00.000Z,POR,96,OKL,108,Moda Center
341,2019-12-09T02:30:00.000Z,LAL,142,MIN,125,Staples Center
342,2019-12-10T00:00:00.000Z,IND,99,LAC,110,Bankers Life Fieldhouse
343,2019-12-10T00:30:00.000Z,BOS,110,CLE,88,TD Garden
344,2019-12-10T01:00:00.000Z,NOP,103,DET,105,Smoothie King Center
345,2019-12-10T01:00:00.000Z,MIL,110,ORL,101,Fiserv Forum
