GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,LEAGUE_ID,TEAM_ID,Conf,MIN_YEAR,MAX_YEAR,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
2/8/2020,21900778,Final,1610612766,1610612742,2019,1610612766,100,0.43700000000000006,0.722,0.306,15,39,1610612742,116,0.506,1.0,0.486,29,46,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
2/7/2020,21900770,Final,1610612764,1610612742,2019,1610612764,119,0.5,0.769,0.5,28,39,1610612742,118,0.462,0.857,0.4,27,49,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
2/3/2020,21900743,Final,1610612754,1610612742,2019,1610612754,103,0.45799999999999996,0.727,0.20600000000000002,28,40,1610612742,112,0.419,0.9570000000000001,0.4,20,51,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
1/31/2020,21900722,Final,1610612745,1610612742,2019,1610612745,128,0.45899999999999996,0.85,0.467,25,37,1610612742,121,0.478,0.778,0.389,29,52,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
1/27/2020,21900697,Final,1610612760,1610612742,2019,1610612760,97,0.395,0.895,0.4,23,48,1610612742,107,0.414,0.667,0.373,21,56,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
1/25/2020,21900680,Final,1610612762,1610612742,2019,1610612762,112,0.44,0.773,0.349,22,54,1610612742,107,0.433,0.5379999999999999,0.39,19,44,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
1/23/2020,21900668,Final,1610612757,1610612742,2019,1610612757,125,0.505,0.8,0.5379999999999999,20,43,1610612742,133,0.516,0.625,0.46799999999999997,27,41,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
1/15/2020,21900612,Final,1610612758,1610612742,2019,1610612758,123,0.521,0.55,0.364,28,42,1610612742,127,0.511,0.833,0.325,24,47,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
1/14/2020,21900602,Final,1610612744,1610612742,2019,1610612744,97,0.44799999999999995,0.769,0.281,27,36,1610612742,124,0.51,0.619,0.35100000000000003,23,53,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
12/31/2019,21900503,Final,1610612760,1610612742,2019,1610612760,106,0.429,0.7859999999999999,0.222,18,56,1610612742,101,0.355,0.741,0.294,19,49,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
